model_name,model_type,gpu,num_queries,total_input_tokens,total_output_tokens,total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,num_runs,min_input_tokens,max_input_tokens,min_output_tokens,max_output_tokens,avg_input_per_query,avg_output_per_query,avg_total_per_query
Llama-3.1-8B,Local,H100,1000,81211,4354825,4436036,81.22,4354.82,4436.05,10,,,,,81.211,4354.825,4436.036
Llama-3.1-8B,Local,H200,1000,81211,4354825,4436036,81.22,4354.82,4436.05,10,,,,,81.211,4354.825,4436.036
Llama-3.1-8B,Local,H100-PCI,1000,81211,4354825,4436036,81.22,4354.82,4436.05,10,,,,,81.211,4354.825,4436.036
Mistral-7B-v0.3,Local,A100-40GB,1000,87230,4103960,4191190,87.2,4104.0,4191.2,10,,,,,87.23,4103.96,4191.19
Mistral-7B-v0.3,Local,A100-PCI,1000,87230,4103960,4191190,87.2,4104.0,4191.2,10,,,,,87.23,4103.96,4191.19
Mistral-7B-v0.3,Local,A100-80GB,1000,87230,4103960,4191190,87.2,4104.0,4191.2,10,,,,,87.23,4103.96,4191.19
Mistral-7B-v0.3,Local,H100,1000,87230,3643200,3730430,87.2,3643.2,3730.4,10,,,,,87.23,3643.2,3730.43
Mistral-7B-v0.3,Local,H100-PCI,1000,87230,3643200,3730430,87.2,3643.2,3730.4,10,,,,,87.23,3643.2,3730.43
Mistral-7B-v0.3,Local,H200,1000,87230,3643200,3730430,87.2,3643.2,3730.4,10,,,,,87.23,3643.2,3730.43
llama-3.1-8b-instant,API,N/A,2711,287378,3204005,3491383,104.696428751125,1164.900960086329,1269.597388837454,30,61.0,168.0,463.0,8192.0,106.00442641091848,1181.8535595721137,1287.857985983032
Mistral-Nemo-Instruct-2407,Local,H100-PCI,1000,79170,3249430,3328600,79.2,3249.4,3328.6,10,,,,,79.17,3249.43,3328.6
Mistral-Nemo-Instruct-2407,Local,H200,1000,79170,3249430,3328600,79.2,3249.4,3328.6,10,,,,,79.17,3249.43,3328.6
Mistral-Nemo-Instruct-2407,Local,H100,1000,79170,3249430,3328600,79.2,3249.4,3328.6,10,,,,,79.17,3249.43,3328.6
Mistral-Nemo-Instruct-2407,Local,A100-PCI,1000,79170,3214280,3293450,79.2,3214.3,3293.4,10,,,,,79.17,3214.28,3293.45
Mistral-Nemo-Instruct-2407,Local,A100-80GB,1000,79170,3214280,3293450,79.2,3214.3,3293.4,10,,,,,79.17,3214.28,3293.45
Mistral-Nemo-Instruct-2407,Local,A100-40GB,1000,79170,3214280,3293450,79.2,3214.3,3293.4,10,,,,,79.17,3214.28,3293.45
Mistral-7B-Instruct-v0.3,Local,H100,1000,87230,3189510,3276740,87.2,3189.5,3276.7,10,,,,,87.23,3189.51,3276.74
Mistral-7B-Instruct-v0.3,Local,H100-PCI,1000,87230,3189510,3276740,87.2,3189.5,3276.7,10,,,,,87.23,3189.51,3276.74
Mistral-7B-Instruct-v0.3,Local,H200,1000,87230,3189510,3276740,87.2,3189.5,3276.7,10,,,,,87.23,3189.51,3276.74
Mistral-Nemo-Base-2407,Local,H200,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-Nemo-Base-2407,Local,A100-80GB,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-Nemo-Base-2407,Local,H100-PCI,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-Nemo-Base-2407,Local,H100,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-Nemo-Base-2407,Local,A100-PCI,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-Nemo-Base-2407,Local,A100-40GB,1000,79170,2964270,3043440,79.2,2964.3,3043.4,10,,,,,79.17,2964.27,3043.44
Mistral-7B-Instruct-v0.3,Local,A100-PCI,1000,87230,2774960,2862190,87.2,2775.0,2862.2,10,,,,,87.23,2774.96,2862.19
Mistral-7B-Instruct-v0.3,Local,A100-80GB,1000,87230,2774960,2862190,87.2,2775.0,2862.2,10,,,,,87.23,2774.96,2862.19
Mistral-7B-Instruct-v0.3,Local,A100-40GB,1000,87230,2774960,2862190,87.2,2775.0,2862.2,10,,,,,87.23,2774.96,2862.19
open-mistral-nemo-paid,API,N/A,1000,81170,1663795,1744965,81.17,1663.795,1744.9650000000001,10,32.0,142.0,444.0,8192.0,81.17,1663.795,1744.965
open-mistral-nemo,API,N/A,999,81040,1656390,1737430,81.12067676767677,1658.0153939393938,1739.1360707070708,10,32.0,142.0,449.0,8192.0,81.12112112112112,1658.048048048048,1739.1691691691692
pixtral-12b-2409,API,N/A,1000,81170,1492704,1573874,81.17,1492.7040000000002,1573.874,10,32.0,142.0,455.0,8192.0,81.17,1492.704,1573.874
open-mistral-7b,API,N/A,1000,89230,1023495,1112725,89.23,1023.4950000000001,1112.725,10,35.0,157.0,395.0,8192.0,89.23,1023.495,1112.725
open-mistral-7b-paid,API,N/A,1000,89230,1019592,1108822,89.23,1019.592,1108.822,10,35.0,157.0,405.0,8192.0,89.23,1019.592,1108.822
